date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:05:31	196/196	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Oct%202022%2000:05:30%20GMT	http://localhost:8888/robots.txt		(from )
21:05:32	30847/30847	---MC-	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202022%2000:05:31%20GMT	http://localhost:8888/knbc/	/Users/jermainebrown/websites/KNBC/localhost_8888/knbc/index.html	(from )
21:05:32	711/711	---M--	200	added ('OK')	application/rss+xml	date:Fri,%2028%20Oct%202022%2000:05:32%20GMT	http://localhost:8888/knbc/index.php?format=feed&type=rss	/Users/jermainebrown/websites/KNBC/localhost_8888/knbc/indexc0d0.php	(from http://localhost:8888/knbc/)
21:05:33	735/735	---M--	200	added ('OK')	application/atom+xml	date:Fri,%2028%20Oct%202022%2000:05:33%20GMT	http://localhost:8888/knbc/index.php?format=feed&type=atom	/Users/jermainebrown/websites/KNBC/localhost_8888/knbc/index7b17.php	(from http://localhost:8888/knbc/)
21:05:34	630/630	---M--	200	added ('OK')	image/x-icon	etag:%22276-5ea228acc8480%22	http://localhost:8888/knbc/templates/aaika/favicon.ico	/Users/jermainebrown/websites/KNBC/localhost_8888/knbc/templates/aaika/favicon.ico	(from http://localhost:8888/knbc/)
21:05:35	8234/8234	---M--	200	added ('OK')	text/css	etag:%22202a-5e9b47e020540%22	http://localhost:8888/knbc/plugins/system/jce/css/content.css?badb4208be409b1335b815dde676300e	/Users/jermainebrown/websites/KNBC/localhost_8888/knbc/plugins/system/jce/css/contentd666.css	(from http://localhost:8888/knbc/)
21:05:36	53753/53753	---M--	200	added ('OK')	text/css	etag:%22d1f9-517b2dc1c1a00%22	http://localhost:8888/knbc/media/com_uniterevolution2/assets/rs-plugin/css/settings.css	/Users/jermainebrown/websites/KNBC/localhost_8888/knbc/media/com_uniterevolution2/assets/rs-plugin/css/settings.css	(from http://localhost:8888/knbc/)
21:05:38	2/2	---M--	200	added ('OK')	text/css	etag:%222-5e7f20aed9ec0%22	http://localhost:8888/knbc/media/com_uniterevolution2/assets/rs-plugin/css/dynamic-captions.css	/Users/jermainebrown/websites/KNBC/localhost_8888/knbc/media/com_uniterevolution2/assets/rs-plugin/css/dynamic-captions.css	(from http://localhost:8888/knbc/)
21:05:38	0/0	---M--	200	added ('OK')	text/css	etag:%220-51784479ac300%22	http://localhost:8888/knbc/media/com_uniterevolution2/assets/rs-plugin/css/static-captions.css	/Users/jermainebrown/websites/KNBC/localhost_8888/knbc/media/com_uniterevolution2/assets/rs-plugin/css/static-captions.6.delayed	(from http://localhost:8888/knbc/)
21:05:39	0/0	---M--	200	added ('OK')	text/css	etag:%220-51540a16e3d80%22	http://localhost:8888/knbc/modules/mod_icemegamenu/themes/clean/css/clean_icemegamenu.css	/Users/jermainebrown/websites/KNBC/localhost_8888/knbc/modules/mod_icemegamenu/themes/clean/css/clean_icemegamenu.css	(from http://localhost:8888/knbc/)
21:05:40	2793/2793	---M--	200	added ('OK')	text/css	etag:%22ae9-515160de30980%22	http://localhost:8888/knbc/modules/mod_icemegamenu/themes/clean/css/clean_icemegamenu-reponsive.css	/Users/jermainebrown/websites/KNBC/localhost_8888/knbc/modules/mod_icemegamenu/themes/clean/css/clean_icemegamenu-reponsive.css	(from http://localhost:8888/knbc/)
